,mean test r,Parcellation,Feature Class,ROI / Num Features,Weighting,Trait,Subject Selection
68,0.014299337997363161,031,PCA,60,MD,Cognition,all
69,0.019817229754054214,031,PCA,70,MD,Cognition,all
70,0.009289078622790686,031,PCA,80,MD,Cognition,all
71,0.003784823314920868,031,PCA,90,MD,Cognition,all
72,0.009686446866247192,031,PCA,100,MD,Cognition,all
73,-0.0035962742011354646,031,PCA,150,MD,Cognition,all
74,0.03079743448562053,031,PCA,200,MD,Cognition,all
75,-0.0896722341084971,031,PCA,31,MD,Cognition,all
76,0.10021193823023199,031,PCA,1,FA,Cognition,all
77,0.08428567823889674,031,PCA,2,FA,Cognition,all
78,0.08354662911872048,031,PCA,3,FA,Cognition,all
79,0.07945086717644619,031,PCA,4,FA,Cognition,all
80,0.0756324619842895,031,PCA,5,FA,Cognition,all
81,0.0625760977572954,031,PCA,10,FA,Cognition,all
82,0.06477605189904247,031,PCA,15,FA,Cognition,all
83,0.0969396279421077,031,PCA,20,FA,Cognition,all
84,0.16414789452311268,031,PCA,30,FA,Cognition,all
85,0.14726472261579782,031,PCA,40,FA,Cognition,all
86,0.13262375897254716,031,PCA,50,FA,Cognition,all
87,0.12924410058154787,031,PCA,60,FA,Cognition,all
88,0.12949135314686352,031,PCA,70,FA,Cognition,all
89,0.13142819568453407,031,PCA,80,FA,Cognition,all
90,0.13754493151147434,031,PCA,90,FA,Cognition,all
91,0.14069691173545762,031,PCA,100,FA,Cognition,all
92,0.12074159104937321,031,PCA,150,FA,Cognition,all
93,0.11681504010192162,031,PCA,200,FA,Cognition,all
94,0.16297330652313563,031,PCA,31,FA,Cognition,all
95,-0.06903177168565601,031,PCA,1,NOS,Cognition,all
96,0.02241207480187844,031,PCA,2,NOS,Cognition,all
97,0.011032649314706456,031,PCA,3,NOS,Cognition,all
98,0.012423070088657218,031,PCA,4,NOS,Cognition,all
99,0.007164331264231189,031,PCA,5,NOS,Cognition,all
100,0.10097469824946995,031,PCA,10,NOS,Cognition,all
101,0.11139788047707169,031,PCA,15,NOS,Cognition,all
102,0.12251563330576311,031,PCA,20,NOS,Cognition,all
103,0.16816814640915198,031,PCA,30,NOS,Cognition,all
104,0.17894674028730034,031,PCA,40,NOS,Cognition,all
105,0.17061677827315028,031,PCA,50,NOS,Cognition,all
106,0.16698425659179703,031,PCA,60,NOS,Cognition,all
107,0.16636246809956198,031,PCA,70,NOS,Cognition,all
108,0.16774936692798526,031,PCA,80,NOS,Cognition,all
109,0.16757538153701965,031,PCA,90,NOS,Cognition,all
110,0.17221251333807053,031,PCA,100,NOS,Cognition,all
111,0.17959061163497408,031,PCA,150,NOS,Cognition,all
112,0.18677451816997176,031,PCA,200,NOS,Cognition,all
113,0.17314580566832427,031,PCA,31,NOS,Cognition,all
114,0.04744811425004095,038,PCA,1,MD,Cognition,all
115,0.01718564400403172,038,PCA,2,MD,Cognition,all
116,0.005094868628069548,038,PCA,3,MD,Cognition,all
117,-0.007824862498209,038,PCA,4,MD,Cognition,all
118,-0.01526202036380788,038,PCA,5,MD,Cognition,all
119,-0.03411450063871676,038,PCA,10,MD,Cognition,all
120,-0.036993961817852444,038,PCA,15,MD,Cognition,all
121,-0.03796877128193302,038,PCA,20,MD,Cognition,all
122,-0.040910251914230915,038,PCA,30,MD,Cognition,all
123,-0.006726261092739795,038,PCA,40,MD,Cognition,all
124,0.03181934846102924,038,PCA,50,MD,Cognition,all
125,0.03331702015089874,038,PCA,60,MD,Cognition,all
126,0.04307598515622769,038,PCA,70,MD,Cognition,all
127,0.02090052667184237,038,PCA,80,MD,Cognition,all
128,0.0036108561262621535,038,PCA,90,MD,Cognition,all
129,0.011226884588892743,038,PCA,100,MD,Cognition,all
130,0.049525816014253043,038,PCA,150,MD,Cognition,all
131,0.05909314670213261,038,PCA,200,MD,Cognition,all
132,-0.01662583071229565,038,PCA,38,MD,Cognition,all
133,0.04447772622788793,038,PCA,1,FA,Cognition,all
134,0.014597542164819151,038,PCA,2,FA,Cognition,all
135,0.0017575329731353345,038,PCA,3,FA,Cognition,all
136,-0.009800149137633074,038,PCA,4,FA,Cognition,all
137,-0.001989165815826733,038,PCA,5,FA,Cognition,all
138,-0.005770289645949943,038,PCA,10,FA,Cognition,all
139,-0.007357510377026604,038,PCA,15,FA,Cognition,all
140,-0.014885414031872532,038,PCA,20,FA,Cognition,all
141,-0.01888202947964101,038,PCA,30,FA,Cognition,all
142,0.008285765990658065,038,PCA,40,FA,Cognition,all
143,0.018399272097774005,038,PCA,50,FA,Cognition,all
144,0.03431940463271448,038,PCA,60,FA,Cognition,all
145,0.04383436148559917,038,PCA,70,FA,Cognition,all
146,0.04517146143970759,038,PCA,80,FA,Cognition,all
147,0.03667012608568816,038,PCA,90,FA,Cognition,all
148,0.07565739452798136,038,PCA,100,FA,Cognition,all
